part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
150,0,-20.0,-72.0,140.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2412b,Tile Special 1 x 2 Grille with Bottom Groove,15.0,1990.0,2025.0,Tiles Special,1.0,2.0,,
151,0,20.0,-72.0,140.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2412b,Tile Special 1 x 2 Grille with Bottom Groove,15.0,1990.0,2025.0,Tiles Special,1.0,2.0,,
152,15,30.0,-64.0,150.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,99780,Bracket 1 x 2 - 1 x 2 Inverted,9.0,2012.0,2025.0,Plates Special,1.0,2.0,,
153,15,-30.0,-64.0,150.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,99780,Bracket 1 x 2 - 1 x 2 Inverted,9.0,2012.0,2025.0,Plates Special,1.0,2.0,,
154,15,-30.0,-72.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3070b,Tile 1 x 1 with Groove,19.0,1976.0,2025.0,Tiles,1.0,1.0,,
155,15,30.0,-72.0,160.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3070b,Tile 1 x 1 with Groove,19.0,1976.0,2025.0,Tiles,1.0,1.0,,
156,0,52.0,-66.0,160.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,3024,Plate 1 x 1,14.0,1962.0,2025.0,Plates,1.0,1.0,,
157,0,-52.0,-66.0,160.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,3024,Plate 1 x 1,14.0,1962.0,2025.0,Plates,1.0,1.0,,
158,0,-44.0,-66.0,150.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,11477,Slope Curved 2 x 1 No Studs [1/2 Bow],37.0,2013.0,2025.0,Bricks Curved,2.0,1.0,,1/2 Bow
159,0,44.0,-66.0,150.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11477,Slope Curved 2 x 1 No Studs [1/2 Bow],37.0,2013.0,2025.0,Bricks Curved,2.0,1.0,,1/2 Bow
